Vorname,Anzahl,Geschlecht
Celia,4,w
Celin,4,w
Celine,4,w
Celine-Maria,4,w
Cellara,4,w
Cemre,4,w
Cennet,4,w
Ceylin,4,w
Chagit,4,w
Chamaine,4,w
Charlotta,4,w
Charvi,4,w
Chelsea,4,w
Cherifa,4,w
Chidinma,4,w
Chimamanda,4,w
Chinonye,4,w
Chioma,4,w
Chizobam,4,w
Chloë,4,w
Chrisi,4,w
Chrisoula,4,w
Christa,4,w
Christelle,4,w
Christin,4,w
Christina,4,w
Ciara,4,w
Çisel,4,w
Claire,4,w
Clarisse,4,w
Clarita,4,w
Claudia,4,w
Clea,4,w
Clementina,4,w
Cléo,4,w
Cleopatra,4,w
Cleophe,4,w
Clia,4,w
Clio,4,w
Cloe,4,w
Colette,4,w
Collien,4,w
Constance,4,w
Cora,4,w
Cosette,4,w
Cosima,4,w
Cosma,4,w
Cynthia,4,w
Dahlia,4,w
Dalija,4,w
Dalin,4,w
Daliya,4,w
Dalya,4,w
Danai,4,w
Dania,4,w
Danica,4,w
Daniela,4,w
Danija,4,w
Daphne,4,w
Dariia,4,w
Darija,4,w
Darja,4,w
Darya,4,w
Daryna,4,w
Davina,4,w
Dayana,4,w
Dea,4,w
Debora,4,w
Deborah,4,w
Deeksha,4,w
Deepana,4,w
Defne,4,w
Deiya,4,w
Dejla,4,w
Delia,4,w
Delilah,4,w
Delin,4,w
Delina,4,w
Delnas,4,w
Delnia,4,w
Demina,4,w
Denef,4,w
Denisa,4,w
Denise-Sophie,4,w
Derin,4,w
Deservi,4,w
Deva,4,w
Dhalia,4,w
Dhurata,4,w
Diariatou,4,w
Dila,4,w
Dilara,4,w
Dilay,4,w
Dilraj,4,w
Dilsad,4,w
Dimitra,4,w
Dimitrije,4,w
Dimyana,4,w
Dina,4,w
Diya,4,w
Diya-Maëlys,4,w
Diyana,4,w
Djerie,4,w
Donia,4,w
Dora,4,w
Dorathy,4,w
Doris,4,w
Dorothee,4,w
Dorsa,4,w
Dragana,4,w
Dunja,4,w
Dunya,4,w
Dünya,4,w
Duru,4,w
Duwa,4,w
Dviti,4,w
Earta,4,w
Ebba,4,w
Eda,4,w
Edanur,4,w
Eden,4,w
Edith,4,w
Edna,4,w
Edona,4,w
Edwina,4,w
Effat,4,w
Eflin,4,w
Efnan,4,w
Efrata,4,w
Efsun,4,w
Eftelja,4,w
Efthimia,4,w
Ehizefa,4,w
Ehmi,4,w
Eileen,4,w
Eirini,4,w
Ejlal,4,w
Ekaterina,4,w
Ekaterini,4,w
Ekin,4,w
Ela-Beyda,4,w
Ela-Hira,4,w
Elana,4,w
Elanur,4,w
Elba,4,w
Eldana,4,w
Eleah,4,w
Eleanor,4,w
Eléanore,4,w
Elektra,4,w
Elen,4,w
Elenia,4,w
Elenía,4,w
Elenor,4,w
Elenora,4,w
Eleonore,4,w
Eleyna,4,w
Eli,4,w
Elia,4,w
Eliána,4,w
Elijana,4,w
Elikya,4,w
Elinda,4,w
Eline,4,w
Elinor,4,w
Elisabetta,4,w
Elisea,4,w
Elisha,4,w
Elissa,4,w
Elissavet,4,w
Eliyshama,4,w
Eliz,4,w
Elizabet,4,w
Elizan,4,w
Ella-Iulia,4,w
Ellen,4,w
Ellena,4,w
Elli,4,w
Ellona,4,w
Elly,4,w
Elma,4,w
Elodie,4,w
Élodie,4,w
Eloisa,4,w
Elora,4,w
Elroe,4,w
Elsie,4,w
Elva,4,w
Elvi,4,w
Elyn,4,w
Ember,4,w
Emel,4,w
Emeli,4,w
Emi,4,w
Emili,4,w
Emilia-Sophie,4,w
Emilia-Theresa,4,w
Émilie,4,w
Emilija,4,w
Emina,4,w
Emma-Alexandra,4,w
Emma-Ioana,4,w
Emma-Lotta,4,w
Emma-Milou,4,w
Emmi,4,w
Emmie,4,w
Emmy,4,w
Enaya,4,w
Enes,4,w
Enie,4,w
Eniola,4,w
Enisa,4,w
Enja,4,w
Enya,4,w
Era,4,w
Erika,4,w
Erina,4,w
Erjona,4,w
Ermela,4,w
Eronmwon,4,w
Erva,4,w
Eshaal,4,w
Esila,4,w
Esila-Lee,4,w
Eslem,4,w
Eslina,4,w
Esme,4,w
Esmeralda,4,w
Esra,4,w
Estela,4,w
Estelle,4,w
Ester,4,w
Esther,4,w
Esya,4,w
Eszter,4,w
Etherin,4,w
Eva-Lavinia,4,w
Evangelia,4,w
Eve,4,w
Evi,4,w
Eviana,4,w
Evie,4,w
Ewa,4,w
Ewlin,4,w
Ezichi,4,w
Fabiola,4,w
Fae,4,w
Fanni,4,w
Fanny,4,w
Farah,4,w
Farha,4,w
Farhat,4,w
Farida,4,w
Fatema,4,w
Fatihah,4,w
Fatima-Zehra,4,w
Fatma,4,w
Fatmanur,4,w
Fatoumata,4,w
Faty,4,w
Favour,4,w
Faye,4,w
Federica,4,w
Fee,4,w
Feena,4,w
Felia,4,w
